title,alias,artists,artist_aliases,country,genre,language,duration,notes
"흔들리며",heundeullimyeo,"룰라",lulla,Korea,Kpop,Korean,220,K
"연인",yeon-in,"룰라",lulla,Korea,Kpop,Korean,225,K
3!4!,,"룰라",lulla,Korea,Kpop,Korean,249,K
"안녕",annyeong,"룰라",lulla,Korea,Kpop,Korean,217,K
"날개 잃은 천사","nalgae ilh-eun cheonsa","룰라",lulla,Korea,Kpop,Korean,242,K
"American Money",,SEATBELTS,,Japan,Airbreak,English,67,J
"Fantaisie Sign",,"Carla Vallet",,Japan,Pop,French,318,J
Bindy,,SEATBELTS,,Japan,Jazz,,138,J
"Time to Know - Be Waltz",,SEATBELTS,,Japan,Jazz,,229,J
"The Real Man",,SEATBELTS,,Japan,Jazz,,240,J
"Flip Reverse",,"장우혁",jang-uhyeog,Korea,Kpop,Korean,197,K
"Pump Flow",,"장우혁",jang-uhyeog,Korea,Kpop,Korean,219,K
"지지 않는 태양","jiji anhneun tae-yang","장우혁",jang-uhyeog,Korea,Kpop,Korean,214,K
"Shake it Shake It!",,"장우혁",jang-uhyeog,Korea,Kpop,Korean,215,K
"S Scenario",,"장우혁",jang-uhyeog,Korea,Kpop,Korean,215,K
WEEKAND,,"장우혁",jang-uhyeog,Korea,Kpop,Korean,193,K
"PIToRRO DE COCO",,"Bad Bunny",,USA,Reggaeton,Spanish,206,Latin
Neverita,,"Bad Bunny",,USA,Latin,Spanish,173,Latin
"Ojitos Lindos (feat. Bomba Estéreo)",,"Bomba Estéreo, Bad Bunny","Bomba Estéreo",USA,Latin,Spanish,258,Latin
"Otro Atardecer (feat. The Marías)",,"Bad Bunny, The Marías","The Marías",USA,Latin,Spanish,244,Latin
"Me Fui de Vacaciones",,"Bad Bunny",,USA,Latin,Spanish,180,Latin
NUEVAYoL,,"Bad Bunny",,USA,Latin,Spanish,183,Latin
"WELTiTA (feat. Chuwi)",,"Bad Bunny, Chuwi",,USA,Latin,Spanish,187,Latin
"LO QUE LE PASÓ A HAWAii","LO QUE LE PASÓ A HAWAii","Bad Bunny",,USA,Latin,Spanish,229,Latin
"Yo Perreo Sola",,"Bad Bunny",,USA,Latin,Spanish,172,Latin
"Después de la Playa","Después de la Playa","Bad Bunny",,USA,Latin,Spanish,230,Latin
Amarillo,,"J Balvin",,Colombia,"Latin trap",Spanish,157,Latin
"The Man with the Machine Gun",,"Nobuo Uematsu",,Japan,Soundtrack,,216,Soundtrack
"NICE TRY",,"Dev Lemons",,USA,"Alt pop",English,120,
"MEDIA TRAIN",,"Dev Lemons",,USA,"Alt pop",English,123,
"DON'T PINCH ME",,"Dev Lemons",,USA,"Alt pop",English,162,
"NOTHING CHANGES",,"Dev Lemons",,USA,"Alt pop",English,219,
"BROKE YOUR COVER",,"Dev Lemons",,USA,"Alt pop",English,187,
"You Tear Me Apart",,"Dev Lemons",,USA,"Alt pop",English,177,
"In The Party (feat. Billy Lemos)",,"Dev Lemons, Billy Lemos",,USA,"Alt Pop",English,156,
"Give Mama A Hug",,"Dev Lemons",,USA,"Alt pop",English,173,
"Freak Show",,"Dev Lemons",,USA,"Alt pop",English,128,
"Guessing Games",,"Dev Lemons",,USA,"Alt pop",English,187,
Sirocco,,"Loco Mía","Loco Mía",Spain,Pop,Spanish,277,Latin
Locomia,,"Loco Mía","Loco Mía",Spain,Pop,Spanish,345,Latin
"R S M (Rumba Samba Mambo)",,"Loco Mía","Loco Mía",Spain,Pop,Spanish,367,Latin
"Loco Vox",,"Loco Mía","Loco Mía",Spain,Pop,Spanish,228,Latin
"Sueño de Papel","Sueño de Papel","Loco Mía","Loco Mía",Spain,Pop,Spanish,202,Latin
"Te Lo Voy A Dar 'Pumba Pumba-Cha Cha Cha'",,"Loco Mía","Loco Mía",Spain,Pop,Spanish,299,Latin
